Graph2
Time (Seconds),Data (Meters),Data0 (Meters)
846.599976,-1.953292,-1.004118
846.649963,-1.948331,-1.003274
846.699951,-1.943493,-1.002204
846.750000,-1.938602,-1.000891
846.799988,-1.933905,-0.999380
846.849976,-1.929180,-0.997608
846.899963,-1.924607,-0.995640
846.949951,-1.920084,-0.993425
847.000000,-1.915748,-0.991022
847.049988,-1.911460,-0.988353
847.099976,-1.907405,-0.985596
847.150024,-1.903363,-0.982561
847.200012,-1.899549,-0.979318
847.250000,-1.895829,-0.975992
847.299988,-1.892278,-0.972467
847.349976,-1.888869,-0.968762
847.400024,-1.885677,-0.964928
847.450012,-1.882589,-0.960976
847.500000,-1.879725,-0.956840
847.550049,-1.877062,-0.952642
847.599976,-1.874585,-0.948234
847.649963,-1.872307,-0.943843
847.699951,-1.870147,-0.939272
847.749939,-1.868215,-0.934720
847.799988,-1.866429,-0.929987
847.849976,-1.864853,-0.925307
847.899963,-1.863454,-0.920420
847.950012,-1.862259,-0.915633
848.000000,-1.861208,-0.910714
848.049988,-1.860353,-0.905835
848.099976,-1.859688,-0.900839
848.149963,-1.859193,-0.895864
848.200012,-1.858864,-0.890874
848.250000,-1.858648,-0.885887
848.299988,-1.858647,-0.880901
848.350037,-1.858809,-0.875876
848.400024,-1.859127,-0.870908
848.450012,-1.859603,-0.865913
848.500000,-1.860217,-0.860955
848.549927,-1.860980,-0.856007
848.599976,-1.861885,-0.851091
848.649963,-1.862924,-0.846173
848.699951,-1.864078,-0.841323
848.750000,-1.865365,-0.836495
848.799988,-1.866766,-0.831705
848.849976,-1.868286,-0.826925
848.899963,-1.869908,-0.822219
848.949951,-1.871644,-0.817519
849.000000,-1.873459,-0.812873
849.049988,-1.875388,-0.808233
849.099976,-1.877381,-0.803671
849.150024,-1.879481,-0.799100
849.200012,-1.881625,-0.794606
849.250000,-1.883852,-0.790121
849.299988,-1.886155,-0.785693
849.349976,-1.888525,-0.781285
849.400024,-1.890940,-0.776912
849.450012,-1.893407,-0.772562
849.500000,-1.895933,-0.768234
849.550049,-1.898493,-0.763948
849.599976,-1.901093,-0.759667
849.649963,-1.903719,-0.755423
849.699951,-1.906384,-0.751184
849.749939,-1.909064,-0.746970
849.799988,-1.911772,-0.742762
849.849976,-1.914492,-0.738571
849.899963,-1.917225,-0.734381
849.950012,-1.919964,-0.730200
850.000000,-1.922707,-0.726019
850.049988,-1.925448,-0.721838
850.099976,-1.928184,-0.717653
850.149963,-1.930909,-0.713461
850.200012,-1.933618,-0.709257
850.250000,-1.936306,-0.705043
850.299988,-1.938974,-0.700810
850.350037,-1.941613,-0.696566
850.400024,-1.944222,-0.692297
850.450012,-1.946788,-0.688007
850.500000,-1.949322,-0.683697
850.549927,-1.951806,-0.679366
850.599976,-1.954242,-0.674986
850.649963,-1.956612,-0.670593
850.699951,-1.958932,-0.666156
850.750000,-1.961174,-0.661696
850.799988,-1.963355,-0.657186
850.849976,-1.965455,-0.652644
850.899963,-1.967477,-0.648078
850.949951,-1.969398,-0.643471
851.000000,-1.971236,-0.638812
851.049988,-1.972984,-0.634131
851.099976,-1.974644,-0.629415
851.150024,-1.976184,-0.624664
851.200012,-1.977624,-0.619886
851.250000,-1.978940,-0.615051
851.299988,-1.980125,-0.610186
851.349976,-1.981190,-0.605305
851.400024,-1.982122,-0.600387
851.450012,-1.982917,-0.595479
851.500000,-1.983576,-0.590502
851.550049,-1.984082,-0.585535
851.599976,-1.984435,-0.580526
851.649963,-1.984640,-0.575560
851.699951,-1.984676,-0.570518
851.749939,-1.984552,-0.565543
851.799988,-1.984255,-0.560533
851.849976,-1.983793,-0.555581
851.899963,-1.983155,-0.550599
851.950012,-1.982348,-0.545684
852.000000,-1.981362,-0.540775
852.049988,-1.980175,-0.535924
852.099976,-1.978801,-0.531109
852.149963,-1.977281,-0.526378
852.200012,-1.975536,-0.521670
852.250000,-1.973627,-0.517059
852.299988,-1.971514,-0.512512
852.350037,-1.969227,-0.508058
852.400024,-1.966785,-0.503708
