Graph1,,
Time (Seconds),vRef (User unit),vMes (User unit)
18.75,0.1,0.101237
18.799999,0.1,0.099537
18.849998,0.1,0.100047
18.9,0.1,0.09958
18.949999,0.1,0.100765
19,0.1,0.099106
19.049999,0.1,0.100637
19.099998,0.1,0.098742
19.15,0.1,0.10149
19.199999,0.1,0.098453
19.25,0.1,0.10047
19.299999,0.1,0.100866
19.349998,0.1,0.10095
19.4,0.1,0.099296
19.449999,0.1,0.099642
19.5,0.1,0.099901
19.549999,0.1,0.099394
19.599998,0.1,0.099578
19.65,0.1,0.10098
19.699999,0.1,0.099733
19.75,0.1,0.10031
19.799999,0.1,0.099439
19.849998,0.1,0.100193
19.9,0.1,0.099953
19.949999,0.1,0.099336
20,0.1,0.101079
20.049999,0.1,0.099515
20.099998,0.1,0.099854
20.15,0.1,0.099598
20.199999,0.3,0.100297
20.25,0.3,0.287061
20.299999,0.3,0.264922
20.349998,0.3,0.300599
20.4,0.3,0.284432
20.449999,0.3,0.301389
20.5,0.3,0.29323
20.549999,0.3,0.303241
20.599998,0.3,0.295072
20.65,0.3,0.302249
20.699999,0.3,0.297645
20.75,0.3,0.301687
20.799999,0.3,0.299946
20.849998,0.3,0.300222
20.9,0.3,0.299382
20.949999,0.3,0.299985
21,0.3,0.298862
21.049999,0.3,0.300681
21.099998,0.3,0.300191
21.15,0.3,0.299337
21.199999,0.3,0.299932
21.25,0.3,0.299669
21.299999,0.3,0.300234
21.349998,0.3,0.300225
21.4,0.3,0.300929
21.449999,0.3,0.299471
21.5,0.3,0.300108
21.549999,0.3,0.299523
21.599998,0.3,0.300018
21.65,0.3,0.30079
21.699999,0.3,0.29963
21.75,0.3,0.300206
21.799999,0.3,0.299535
21.849998,0.3,0.300574
21.9,0.3,0.299489
21.949999,0.3,0.301007
22,0.3,0.299725
22.049999,0.3,0.299958
22.099998,0.3,0.300077
22.15,0.3,0.300491
22.199999,0.3,0.298966
22.25,0.3,0.300819
22.299999,0.3,0.299092
22.349998,0.3,0.30031
22.4,0.3,0.299877
22.449999,0.3,0.300228
22.5,0.3,0.300131
22.549999,0.3,0.299523
22.599998,0.3,0.3004
22.65,0.3,0.299268
22.699999,0.3,0.300472
22.75,0.3,0.299949
22.799999,0.3,0.300434
22.849998,0.3,0.299629
22.9,0.3,0.299977
22.949999,0.3,0.298996
23,0.3,0.300873
23.049999,0.3,0.29931
23.099998,0.3,0.300711
23.15,0.3,0.300123
23.199999,0.3,0.299946
23.25,0.3,0.300886
23.299999,0.3,0.298833
23.349998,0.3,0.300864
23.4,0.3,0.299427
23.449999,0.3,0.299836
23.5,0.3,0.299312
23.549999,0.3,0.301422
23.599998,0.3,0.299683
23.65,0.3,0.29976
23.699999,0.3,0.300467
23.75,0.3,0.298843
23.799999,0.3,0.300469
23.849998,0.3,0.300159
23.9,0.3,0.299528
23.949999,0.3,0.300576
24,0.3,0.30046
24.049999,0.3,0.299885
24.099998,0.3,0.299898
24.15,0.3,0.300133
24.199999,0.3,0.299391
24.25,0.3,0.300416
24.299999,0.3,0.299896
24.349998,0.3,0.30032
